paises;quantidade;valor;ano
Tunísia;-;-;2022
Turquia;418;503;2022
Tuvalu;-;-;2022
Uruguai;637.117;997.367;2022
Vanuatu;-;-;2022
Venezuela;23.220;32.351;2022
Vietnã;130;277;2022
Total;7.025.983;10.945.282;2022
Afeganistão;-;-;2023
África do Sul;-;-;2023
Alemanha, República Democrática;7.630;45.367;2023
Angola;4.068;4.761;2023
Anguilla;-;-;2023
Antígua e Barbuda;419;1.866;2023
Antilhas Holandesas;-;-;2023
Argentina;480;3.232;2023
Aruba;-;-;2023
Austrália;1.424;12.299;2023
Áustria;6;212;2023
Bahamas;1.215;5.799;2023
Bangladesh;7;84;2023
Barbados;220;1.145;2023
Barein;979;2.789;2023
Bélgica;828;6.145;2023
Belice;-;-;2023
Benin;-;-;2023
Bolívia;32.530;49.011;2023
Bósnia-Herzegovina;-;-;2023
Brasil;2.504;952;2023
Bulgária;5;31;2023
Cabo Verde;-;-;2023
Camarões;-;-;2023
Canadá;1.183;5.784;2023
Catar;-;-;2023
Cayman, Ilhas;160;958;2023
Chile;2.094;7.986;2023
China;105.395;404.647;2023
Chipre;1.521;4.458;2023
Cingapura;-;-;2023
Cocos (Keeling), Ilhas;26;60;2023
Colômbia;8.217;14.068;2023
Comores;-;-;2023
Congo;-;-;2023
Coreia, Republica Sul;77;257;2023
Costa do Marfim;-;-;2023
Costa Rica;-;-;2023
Croácia;34;484;2023
Cuba;16;6;2023
Curaçao;40.673;66.950;2023
Dinamarca;2;6;2023
Dominica;1.485;2.223;2023
El Salvador;-;-;2023
Emirados Arabes Unidos;4.781;85.465;2023
Equador;135;210;2023
Eslovaca, Republica;-;-;2023
Espanha;-;-;2023
Estados Unidos;220.373;447.893;2023
Estônia;-;-;2023
Filipinas;375;790;2023
Finlândia;-;-;2023
França;5.694;25.008;2023
Gana;35.949;49.304;2023
Gibraltar;-;-;2023
Granada;5.610;7.914;2023
Grécia;920;2.426;2023
Guatemala;1.283;5.350;2023
Guiana;2.064;5.823;2023
Guiana Francesa;22;18;2023
Guine Bissau;-;-;2023
Guine Equatorial;-;-;2023
Haiti;553.503;741.014;2023
Honduras;-;-;2023
Hong Kong;9.371;38.218;2023
Hungria;-;-;2023
Ilha de Man;165;641;2023
Ilhas Virgens;-;-;2023
India;247;1.021;2023
Indonésia;-;-;2023
Irã;47;90;2023
Iraque;-;-;2023
Irlanda;-;-;2023
Itália;1.129;6.151;2023
Jamaica;-;-;2023
Japão;37.324;82.208;2023
Jordânia;-;-;2023
Letônia;-;-;2023
Líbano;-;-;2023
Libéria;9.145;34.815;2023
Luxemburgo;36;802;2023
Malásia;-;-;2023
Malta;3.127;15.587;2023
Marshall, Ilhas;7.240;27.178;2023
Mauritânia;-;-;2023
México;6;33;2023
Moçambique;383;1.927;2023
Montenegro;-;-;2023
Namibia;-;-;2023
Nicaragua;-;-;2023
Nigéria;32.234;50.283;2023
Noruega;2.711;40.316;2023
Nova Caledônia;-;-;2023
Nova Zelândia;63;156;2023
Omã;194;670;2023
Países Baixos;7.034;37.240;2023
Panamá;11.490;49.392;2023
Paraguai;5.076.670;7.156.293;2023
Peru;-;-;2023
Polônia;-;-;2023
Porto Rico;-;-;2023
Portugal;1.918;7.613;2023
Quênia;1.440;2.080;2023
Reino Unido;18.835;138.154;2023
República Dominicana;-;-;2023
Rússia;66.046;118.618;2023
São Tomé e Príncipe;-;-;2023
São Vicente e Granadinas;20;51;2023
Senegal;-;-;2023
Serra Leoa;8.101;15.182;2023
Singapura;4.322;15.434;2023
Suazilândia;-;-;2023
Suécia;5;18;2023
Suíça;1.584;20.863;2023
Suriname;1.225;3.360;2023
Tailândia;432;1.713;2023
Taiwan (FORMOSA);25;277;2023
Tanzânia;-;-;2023
Tcheca, República;1.305;9.997;2023
Togo;17.317;25.608;2023
Trinidade Tobago;-;-;2023
Tunísia;-;-;2023
Turquia;418;503;2023
Tuvalu;-;-;2023
Uruguai;637.117;997.367;2023
Vanuatu;-;-;2023
Venezuela;23.220;32.351;2023
Vietnã;130;277;2023
Total;7.025.983;10.945.282;2023
